doi,title,url,publisherID,journalID,dateCreated,references,referencedBy,aim
10.1152/ajpcell.00231.2024,Isolation of a persistently quiescent muscle satellite cell population,https://doi.org/10.1152/ajpcell.00231.2024,American Physiological Society,American Journal of Physiology-Cell Physiology,2024-06-24,32,0,Cell Sources
10.1016/j.jfca.2024.106663,Assessment of the potential nutritional value of cell-cultured chicken meat in light of European dietary recommendations,https://doi.org/10.1016/j.jfca.2024.106663,Elsevier BV,Journal of Food Composition and Analysis,2024-08-16,73,4,Safety
10.1002/bit.28324,Techno‐economic modeling and assessment of cultivated meat: Impact of production bioreactor scale,https://doi.org/10.1002/bit.28324,Wiley,Biotechnology and Bioengineering,2022-12-30,43,33,Performance
10.3389/fcell.2022.858884,Covariation of Pluripotency Markers and Biomechanical Properties in Mouse Embryonic Stem Cells,https://doi.org/10.3389/fcell.2022.858884,Frontiers Media SA,Frontiers in Cell and Developmental Biology,2022-05-16,32,1,Cell Differentiation
10.1016/j.ifset.2024.103734,Eggshell membrane as a natural food-grade scaffold for cultured meat,https://doi.org/10.1016/j.ifset.2024.103734,Elsevier BV,Innovative Food Science &amp; Emerging Technologies,2024-06-16,53,0,Scaffolding
10.3389/fsufs.2023.1127164,Halal or not? Exploring Muslim perceptions of cultured meat in Singapore,https://doi.org/10.3389/fsufs.2023.1127164,Frontiers Media SA,Frontiers in Sustainable Food Systems,2023-04-06,65,16,Religion
10.1016/j.livsci.2021.104705,The power of initial perceived barriers versus motives shaping consumers’ willingness to eat cultured meat as a substitute for conventional meat,https://doi.org/10.1016/j.livsci.2021.104705,Elsevier BV,Livestock Science,2021-09-21,33,31,Acceptance
10.1016/j.meatsci.2019.04.004,Strategies for overcoming aversion to unnaturalness: The case of clean meat,https://doi.org/10.1016/j.meatsci.2019.04.004,Elsevier BV,Meat Science,2019-04-04,51,91,Acceptance
10.3389/fsufs.2023.1160458,"Bad animals, techno-fixes, and the environmental narratives of alternative protein",https://doi.org/10.3389/fsufs.2023.1160458,Frontiers Media SA,Frontiers in Sustainable Food Systems,2023-06-13,73,3,Education
10.3390/su13137430,Consumers’ Perception of In-Vitro Meat in New Zealand Using the Theory of Planned Behaviour Model,https://doi.org/10.3390/su13137430,MDPI AG,Sustainability,2021-07-02,52,15,Acceptance
10.1353/con.2013.0013,"Growing Meat in Laboratories: The Promise, Ontology, and Ethical Boundary-Work of Using Muscle Cells to Make Food",https://doi.org/10.1353/con.2013.0013,Project MUSE,Configurations,2013-11-24,0,56,Ethics
10.1038/s41538-019-0041-0,Setting the table for meat consumers: an international Delphi study on in vitro meat,https://doi.org/10.1038/s41538-019-0041-0,Springer Science and Business Media LLC,npj Science of Food,2019-06-04,39,33,Stakeholders
10.1038/s41538-019-0041-0,Setting the table for meat consumers: an international Delphi study on in vitro meat,https://doi.org/10.1038/s41538-019-0041-0,Springer Science and Business Media LLC,npj Science of Food,2019-06-04,39,33,Acceptance
10.1016/j.biomaterials.2022.121615,Engineered meatballs via scalable skeletal muscle cell expansion and modular micro-tissue assembly using porous gelatin micro-carriers,https://doi.org/10.1016/j.biomaterials.2022.121615,Elsevier BV,Biomaterials,2022-06-03,62,63,Scaffolding
10.1016/j.xpro.2023.102351,Protein expression and purification of bioactive growth factors for use in cell culture and cellular agriculture,https://doi.org/10.1016/j.xpro.2023.102351,Elsevier BV,STAR Protocols,2023-06-13,11,2,Media
10.1016/j.cej.2022.137455,Microfluidic generation of helical micromotors for muscle tissue engineering,https://doi.org/10.1016/j.cej.2022.137455,Elsevier BV,Chemical Engineering Journal,2022-06-10,42,29,Scaffolding
10.1016/j.techsoc.2022.102116,The interplay of entrepreneurial ecosystems and global value chains: Insights from the cultivated meat entrepreneurial ecosystem of Singapore,https://doi.org/10.1016/j.techsoc.2022.102116,Elsevier BV,Technology in Society,2022-09-10,97,11,Stakeholders
10.3389/fbioe.2023.1116917,Bioactive cellulose acetate nanofiber loaded with annatto support skeletal muscle cell attachment and proliferation,https://doi.org/10.3389/fbioe.2023.1116917,Frontiers Media SA,Frontiers in Bioengineering and Biotechnology,2023-02-23,77,17,Scaffolding
10.1108/bfj-11-2022-1016,How social norms and dietary identity affect willingness to try cultured meat,https://doi.org/10.1108/bfj-11-2022-1016,Emerald,British Food Journal,2023-11-28,75,3,NA
10.1108/bfj-08-2020-0698,"Consumption behavior and purchase intention of cultured meat in the capital of the “state of barbecue,” Brazil",https://doi.org/10.1108/bfj-08-2020-0698,Emerald,British Food Journal,2021-09-09,94,19,NA
10.1038/s43016-022-00603-x,Thick and thin food justice approaches in the evaluation of cellular agriculture,https://doi.org/10.1038/s43016-022-00603-x,Springer Science and Business Media LLC,Nature Food,2022-10-18,19,8,Ethics
10.1016/j.foodres.2024.114303,Corrigendum to “Analysis of commercial fetal bovine serum (FBS) and its substitutes in the development of cultured meat” [Food Res. Int.174P1 (2023) 113617],https://doi.org/10.1016/j.foodres.2024.114303,Elsevier BV,Food Research International,2024-05-15,0,0,Media
10.5840/philtoday2022318444,Will Symbolic Sacrifice Triumph Over Real Sacrifice?,https://doi.org/10.5840/philtoday2022318444,Philosophy Documentation Center,Philosophy Today,2022-03-22,0,1,Ethics
10.1016/j.appet.2022.106392,Food values drive Chinese consumers' demand for meat and milk substitutes,https://doi.org/10.1016/j.appet.2022.106392,Elsevier BV,Appetite,2022-11-28,60,24,Acceptance
10.1016/j.foodpol.2020.101931,"Consumer preferences for farm-raised meat, lab-grown meat, and plant-based meat alternatives: Does information or brand matter?",https://doi.org/10.1016/j.foodpol.2020.101931,Elsevier BV,Food Policy,2020-07-03,76,301,Acceptance
10.1007/s10806-017-9654-y,Animal Killing and Postdomestic Meat Production,https://doi.org/10.1007/s10806-017-9654-y,Springer Science and Business Media LLC,Journal of Agricultural and Environmental Ethics,2017-02-09,106,49,Ethics
10.1038/s41598-018-28746-7,Maintaining bovine satellite cells stemness through p38 pathway,https://doi.org/10.1038/s41598-018-28746-7,Springer Science and Business Media LLC,Scientific Reports,2018-07-11,55,129,Cell Sources
10.1038/s41538-023-00178-2,The flavor-enhancing action of glutamate and its mechanism involving the notion of kokumi,https://doi.org/10.1038/s41538-023-00178-2,Springer Science and Business Media LLC,npj Science of Food,2023-01-27,74,54,Process
10.1021/acs.jafc.2c09059,Enhancement of Collagen-I Levels in Human Gingival Fibroblasts by Small Molecule Activation of HIF-1α,https://doi.org/10.1021/acs.jafc.2c09059,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,2023-05-03,50,10,Process
10.1016/j.foodres.2023.113617,Analysis of commercial fetal bovine serum (FBS) and its substitutes in the development of cultured meat,https://doi.org/10.1016/j.foodres.2023.113617,Elsevier BV,Food Research International,2023-10-24,52,24,Media
10.1021/acs.jafc.3c06638,Genipin Activates Autophagy and Promotes Myoblast Differentiation by Activating AMPK Pathway,https://doi.org/10.1021/acs.jafc.3c06638,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,2024-05-29,50,0,Cell Differentiation
10.1371/journal.pone.0290169,Modelling consumers’ choice of novel food,https://doi.org/10.1371/journal.pone.0290169,Public Library of Science (PLoS),PLOS ONE,2023-08-28,54,11,Performance
10.1016/j.fbio.2022.101571,An effective cytokine combination for ex vivo expansion of porcine muscle stem cells,https://doi.org/10.1016/j.fbio.2022.101571,Elsevier BV,Food Bioscience,2022-01-25,49,22,Media
10.3390/cells13010041,Derivation and Characterization of Novel Cytocompatible Decellularized Tissue Scaffold for Myoblast Growth and Differentiation,https://doi.org/10.3390/cells13010041,MDPI AG,Cells,2023-12-25,51,7,Scaffolding
10.3390/foods13040563,Effect of Crude Polysaccharides from Ecklonia cava Hydrolysate on Cell Proliferation and Differentiation of Hanwoo Muscle Stem Cells for Cultured Meat Production,https://doi.org/10.3390/foods13040563,MDPI AG,Foods,2024-02-13,46,1,Media
10.3390/foods13040563,Effect of Crude Polysaccharides from Ecklonia cava Hydrolysate on Cell Proliferation and Differentiation of Hanwoo Muscle Stem Cells for Cultured Meat Production,https://doi.org/10.3390/foods13040563,MDPI AG,Foods,2024-02-13,46,1,Cell Differentiation
10.1038/s41538-022-00172-0,Nomenclature of cell-cultivated meat &amp; seafood products,https://doi.org/10.1038/s41538-022-00172-0,Springer Science and Business Media LLC,npj Science of Food,2022-12-10,59,27,Acceptance
10.1016/j.meatsci.2022.108763,"Corrigendum to: “Consumer acceptance of cultured meat in Germany” [Meat Science, volume 162, article number 107924]",https://doi.org/10.1016/j.meatsci.2022.108763,Elsevier BV,Meat Science,2022-03-03,0,0,NA
10.1038/s41538-022-00157-z,Spent media analysis suggests cultivated meat media will require species and cell type optimization,https://doi.org/10.1038/s41538-022-00157-z,Springer Science and Business Media LLC,npj Science of Food,2022-09-29,41,37,Media
10.5851/kosfa.2022.e61,Optimal Pre-Plating Method of Chicken Satellite Cells for Cultured Meat Production,https://doi.org/10.5851/kosfa.2022.e61,Korean Society for Food Science of Animal Resources,Food Science of Animal Resources,2022-10-20,29,16,Cell Differentiation
10.3390/cells10092499,Isolation and Characterization of Tissue Resident CD29-Positive Progenitor Cells in Livestock to Generate a Three-Dimensional Meat Bud,https://doi.org/10.3390/cells10092499,MDPI AG,Cells,2021-09-21,20,15,Cell Sources
10.1007/s10806-019-09759-2,Lab-Grown Meat and Veganism: A Virtue-Oriented Perspective,https://doi.org/10.1007/s10806-019-09759-2,Springer Science and Business Media LLC,Journal of Agricultural and Environmental Ethics,2019-02-26,24,31,Ethics
10.5851/kosfa.2024.e46,"Comparison of Soy and Pea Protein for Cultured Meat Scaffolds:
                    Evaluating Gelation, Physical Properties, and Cell Adhesion",https://doi.org/10.5851/kosfa.2024.e46,Korean Society for Food Science of Animal Resources,Food Science of Animal Resources,2024-07-10,64,6,Scaffolding
10.1016/j.fbio.2023.102910,Fabrication of cell cultured meat by hydrogel with topographic microstructures,https://doi.org/10.1016/j.fbio.2023.102910,Elsevier BV,Food Bioscience,2023-07-18,41,11,Scaffolding
10.3390/foods10112588,Brazilian Consumers’ Attitudes towards So-Called “Cell-Based Meat”,https://doi.org/10.3390/foods10112588,MDPI AG,Foods,2021-10-27,63,46,Acceptance
10.1016/j.foodres.2023.113757,Production of green-natural and “authentic” cultured meat based on proanthocyanidins-dialdehyde chitosan-collagen ternary hybrid edible scaffolds,https://doi.org/10.1016/j.foodres.2023.113757,Elsevier BV,Food Research International,2023-11-25,34,10,Scaffolding
10.1016/j.foodqual.2021.104226,"Information, attitudes, and consumer evaluations of cultivated meat",https://doi.org/10.1016/j.foodqual.2021.104226,Elsevier BV,Food Quality and Preference,2021-03-09,73,49,Acceptance
10.1016/j.appet.2019.05.019,How should importance of naturalness be measured? A comparison of different scales,https://doi.org/10.1016/j.appet.2019.05.019,Elsevier BV,Appetite,2019-05-15,34,38,Acceptance
10.1080/13669877.2020.1871057,What drives risk perceptions? Revisiting public perceptions of food hazards associated with production and consumption,https://doi.org/10.1080/13669877.2020.1871057,Informa UK Limited,Journal of Risk Research,2021-01-27,58,20,Acceptance
10.1016/s2095-3119(14)60886-8,Educated consumers don't believe artificial meat is the solution to the problems with the meat industry,https://doi.org/10.1016/s2095-3119(14)60886-8,Elsevier BV,Journal of Integrative Agriculture,2015-02-14,27,145,NA
10.1021/acsabm.3c00944,Whey Protein Isolate Composites as Potential Scaffolds for Cultivated Meat,https://doi.org/10.1021/acsabm.3c00944,American Chemical Society (ACS),ACS Applied Bio Materials,2024-03-19,68,2,Scaffolding
10.3390/nu11081904,"Older Consumers’ Readiness to Accept Alternative, More Sustainable Protein Sources in the European Union",https://doi.org/10.3390/nu11081904,MDPI AG,Nutrients,2019-08-15,63,182,Acceptance
10.1038/s41538-024-00262-1,Decellularised plant scaffolds facilitate porcine skeletal muscle tissue engineering for cultivated meat biomanufacturing,https://doi.org/10.1038/s41538-024-00262-1,Springer Science and Business Media LLC,npj Science of Food,2024-05-03,47,10,Scaffolding
10.3390/bios14010024,Discovery of Novel Stimulators of Pax7 and/or MyoD: Enhancing the Efficacy of Cultured Meat Production through Culture Media Enrichment,https://doi.org/10.3390/bios14010024,MDPI AG,Biosensors,2023-12-31,39,3,Media
10.1016/j.foodhyd.2024.109944,Animal-free scaffold from brown algae provides a three-dimensional cell growth and differentiation environment for steak-like cultivated meat,https://doi.org/10.1016/j.foodhyd.2024.109944,Elsevier BV,Food Hydrocolloids,2024-02-26,70,15,Scaffolding
10.1016/j.livsci.2022.104909,Perception of cultured “meat” by French consumers according to their diet,https://doi.org/10.1016/j.livsci.2022.104909,Elsevier BV,Livestock Science,2022-03-26,21,27,Acceptance
10.1016/j.carbpol.2023.121287,Development of cultivable alginate fibers for an ideal cell-cultivated meat scaffold and production of hybrid cultured meat,https://doi.org/10.1016/j.carbpol.2023.121287,Elsevier BV,Carbohydrate Polymers,2023-08-10,54,27,Scaffolding
10.1016/j.appet.2022.105990,A cross-country investigation of social image motivation and acceptance of lab-grown meat in Singapore and the United States,https://doi.org/10.1016/j.appet.2022.105990,Elsevier BV,Appetite,2022-03-01,62,34,Acceptance
10.1016/j.biomaterials.2022.121649,Harvest of quality-controlled bovine myogenic cells and biomimetic bovine muscle tissue engineering for sustainable meat production,https://doi.org/10.1016/j.biomaterials.2022.121649,Elsevier BV,Biomaterials,2022-06-25,53,31,Process
10.1016/j.cej.2023.147467,Microfluidic generation of bioinspired core–shell structured microfibers for cultured meat,https://doi.org/10.1016/j.cej.2023.147467,Elsevier BV,Chemical Engineering Journal,2023-11-19,42,19,Scaffolding
10.1080/09505431.2018.1544232,Many Meats and Many Milks? The Ontological Politics of a Proposed Post-animal Revolution,https://doi.org/10.1080/09505431.2018.1544232,Informa UK Limited,Science as Culture,2018-11-24,59,46,Ethics
10.3390/conservation3020021,Cultivated Manatee Meat Aiding Amazon Biodiversity Conservation: Discussing a Proposed Model,https://doi.org/10.3390/conservation3020021,MDPI AG,Conservation,2023-05-22,69,1,Performance
10.1016/j.meatsci.2019.04.004,Strategies for overcoming aversion to unnaturalness: The case of clean meat,https://doi.org/10.1016/j.meatsci.2019.04.004,Elsevier BV,Meat Science,2019-04-04,51,91,Acceptance
10.3389/fnut.2020.00148,Cultured Meat and Australia's Generation Z,https://doi.org/10.3389/fnut.2020.00148,Frontiers Media SA,Frontiers in Nutrition,2020-09-08,52,63,Acceptance
10.1002/cite.202200151,The Potential Application of Single‐Use Bioreactors in Cultured Meat Production,https://doi.org/10.1002/cite.202200151,Wiley,Chemie Ingenieur Technik,2022-11-05,19,10,Process
10.1016/j.biomaterials.2021.121155,Gelatin MAGIC powder as nutrient-delivering 3D spacer for growing cell sheets into cost-effective cultured meat,https://doi.org/10.1016/j.biomaterials.2021.121155,Elsevier BV,Biomaterials,2021-09-28,43,52,Media
10.1371/journal.pone.0221129,First glimpse on attitudes of highly educated consumers towards cell-based meat and related issues in Brazil,https://doi.org/10.1371/journal.pone.0221129,Public Library of Science (PLoS),PLOS ONE,2019-08-30,44,75,Acceptance
10.1021/acsami.4c03585,Nanostarch-Stimulated Cell Adhesion in 3D Bioprinted Hydrogel Scaffolds for Cell Cultured Meat,https://doi.org/10.1021/acsami.4c03585,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2024-04-29,46,1,Scaffolding
10.3389/fbioe.2023.1202165,Non-ammoniagenic proliferation and differentiation media for cultivated adipose tissue,https://doi.org/10.3389/fbioe.2023.1202165,Frontiers Media SA,Frontiers in Bioengineering and Biotechnology,2023-07-24,66,6,Media
10.1016/j.appet.2020.104860,Consumer perceptions of conventional and alternative protein sources: A mixed-methods approach with meal and product framing,https://doi.org/10.1016/j.appet.2020.104860,Elsevier BV,Appetite,2020-09-08,45,81,Acceptance
10.1071/rd19272,Livestock pluripotency is finally captured in vitro,https://doi.org/10.1071/rd19272,CSIRO Publishing,"Reproduction, Fertility and Development",2019-12-02,236,30,NA
10.1016/j.crfs.2024.100841,"Advances in development of long-term embryonic stem cell-like cultures from a marine fish, Sciaenops ocellatus",https://doi.org/10.1016/j.crfs.2024.100841,Elsevier BV,Current Research in Food Science,2024-09-13,38,2,Cell Sources
10.1038/s41538-023-00177-3,Author Correction: Nomenclature of cell-cultivated meat &amp; seafood products,https://doi.org/10.1038/s41538-023-00177-3,Springer Science and Business Media LLC,npj Science of Food,2023-01-13,0,0,Education
10.1038/s41467-023-44359-9,Cultured meat with enriched organoleptic properties by regulating cell differentiation,https://doi.org/10.1038/s41467-023-44359-9,Springer Science and Business Media LLC,Nature Communications,2024-01-02,59,39,Cell Differentiation
10.3390/foods13091358,"Production of Plant-Based, Film-Type Scaffolds Using Alginate and Corn Starch for the Culture of Bovine Myoblasts",https://doi.org/10.3390/foods13091358,MDPI AG,Foods,2024-04-29,49,7,Scaffolding
10.1016/j.eist.2024.100871,Creating legitimacy for cultured meat in Germany: The role of social cohesion,https://doi.org/10.1016/j.eist.2024.100871,Elsevier BV,Environmental Innovation and Societal Transitions,2024-07-03,54,1,Education
10.1016/j.crbiot.2024.100241,Comparative evaluation of myogenic potential of purebred chicken muscle stem cells,https://doi.org/10.1016/j.crbiot.2024.100241,Elsevier BV,Current Research in Biotechnology,2024-07-25,34,1,Cell Sources
10.1093/advances/nmab113,Perspective: Unpacking the Wicked Challenges for Alternative Proteins in the United States: Can Highly Processed Plant-Based and Cell-Cultured Food and Beverage Products Support Healthy and Sustainable Diets and Food Systems?,https://doi.org/10.1093/advances/nmab113,Elsevier BV,Advances in Nutrition,2021-09-11,91,37,Ethics
10.2478/aoas-2022-0092,Cell-Based Meat Labeling – Current Worldwide Legislation Status – A Review,https://doi.org/10.2478/aoas-2022-0092,Walter de Gruyter GmbH,Annals of Animal Science,2023-02-07,95,4,Review
10.3389/fsufs.2023.1104731,"Cultured meat, clean meat,… queer meat? A vegan queer ecofeminist perspective on the implications of cellular agriculture",https://doi.org/10.3389/fsufs.2023.1104731,Frontiers Media SA,Frontiers in Sustainable Food Systems,2023-02-16,17,0,Ethics
10.3389/fsufs.2023.1134100,The role of natural scientists in navigating the social implications of cellular agriculture: insights from an interdisciplinary workshop,https://doi.org/10.3389/fsufs.2023.1134100,Frontiers Media SA,Frontiers in Sustainable Food Systems,2023-06-16,53,3,Stakeholders
10.22434/ifamr2022.0017,AgriTech investor and informant perspectives about cellular agriculture,https://doi.org/10.22434/ifamr2022.0017,Walter de Gruyter GmbH,International Food and Agribusiness Management Review,2022-09-27,79,6,NA
10.1016/j.devcel.2021.11.022,ERK1/2 inhibition promotes robust myotube growth via CaMKII activation resulting in myoblast-to-myotube fusion,https://doi.org/10.1016/j.devcel.2021.11.022,Elsevier BV,Developmental Cell,2021-12-20,92,77,Process
10.1016/s2095-3119(14)60891-1,The environmental prospects of cultured meat in China,https://doi.org/10.1016/s2095-3119(14)60891-1,Elsevier BV,Journal of Integrative Agriculture,2015-02-14,62,35,NA
10.3389/fsufs.2024.1294390,Development of a regionalized dynamic weighting method for the environmental impact of alternative protein sources,https://doi.org/10.3389/fsufs.2024.1294390,Frontiers Media SA,Frontiers in Sustainable Food Systems,2024-01-29,32,1,Performance
10.3390/foods12142645,Cultured Meat Safety Research Priorities: Regulatory and Governmental Perspectives,https://doi.org/10.3390/foods12142645,MDPI AG,Foods,2023-07-10,115,14,Regulations
10.1007/s10811-015-0530-8,Recovery of omega-3 profiles of cultivated abalone by dietary macroalgae supplementation,https://doi.org/10.1007/s10811-015-0530-8,Springer Science and Business Media LLC,Journal of Applied Phycology,2015-03-16,50,12,Safety
10.1089/space.2019.0018,Feeding One Million People on Mars,https://doi.org/10.1089/space.2019.0018,Mary Ann Liebert Inc,New Space,2019-09-03,39,43,Performance
10.3390/su12114377,Is India Ready for Alt-Meat? Preferences and Willingness to Pay for Meat Alternatives,https://doi.org/10.3390/su12114377,MDPI AG,Sustainability,2020-05-28,84,50,Acceptance
10.3389/fnut.2023.1196475,Halal cultivated meat: an untapped opportunity,https://doi.org/10.3389/fnut.2023.1196475,Frontiers Media SA,Frontiers in Nutrition,2023-07-13,34,9,Religion
10.1016/j.ces.2019.115269,A conceptual air-lift reactor design for large scale animal cell cultivation in the context of in vitro meat production,https://doi.org/10.1016/j.ces.2019.115269,Elsevier BV,Chemical Engineering Science,2019-10-14,68,72,Process
10.1016/j.bej.2020.107864,Hydrodynamics and mass transfer in spinner flasks: Implications for large scale cultured meat production,https://doi.org/10.1016/j.bej.2020.107864,Elsevier BV,Biochemical Engineering Journal,2020-12-01,37,16,Process
10.1002/btpr.3402,Proliferation of mammalian cells with <i>Chlorococcum littorale</i> algal compounds without serum support,https://doi.org/10.1002/btpr.3402,Wiley,Biotechnology Progress,2023-10-31,48,5,Media
10.3389/fsufs.2022.1056615,"The social impact of cultivated and plant-based meats as radical innovations in the food chain: Views from Brazil, the United States and Europe",https://doi.org/10.3389/fsufs.2022.1056615,Frontiers Media SA,Frontiers in Sustainable Food Systems,2022-12-22,95,9,Acceptance
10.1021/acsbiomaterials.2c01521,Supplementation of GelMA with Minimally Processed Tissue Promotes the Formation of Densely Packed Skeletal-Muscle-Like Tissues,https://doi.org/10.1021/acsbiomaterials.2c01521,American Chemical Society (ACS),ACS Biomaterials Science &amp; Engineering,2023-05-01,80,6,Scaffolding
10.3390/foods12071384,Effect of Serum and Oxygen on the In Vitro Culture of Hanwoo Korean Native Cattle-Derived Skeletal Myogenic Cells Used in Cellular Agriculture,https://doi.org/10.3390/foods12071384,MDPI AG,Foods,2023-03-24,24,3,Media
10.1016/j.crfs.2024.100846,Cellulose as a sustainable scaffold material in cultivated meat production,https://doi.org/10.1016/j.crfs.2024.100846,Elsevier BV,Current Research in Food Science,2024-09-13,144,1,Scaffolding
